Job Title,Company,Company Link,Date,Date Text,Job Link,Insights,Description Length,Description
Senior Full Stack Developer,Babylon Data,https://www.linkedin.com/company/babylon-data/life,,5 hours ago,https://www.linkedin.com/jobs/view/4331864499/?eBP=NON_CHARGEABLE_CHANNEL&refId=TEC%2BapGEYdBD%2FtC7O21AEA%3D%3D&trackingId=in1JRP58I1Nn2S3lI6ePVQ%3D%3D&trk=flagship3_search_srp_jobs,,4307,"About the job  Senior Full Stack Developer     Rate Guide: $900 – $1,200 per day plus super @ 12%   Location: ACT, QLD, VIC, or NSW   Contract Duration: 6 months (to 30 June 2026) + 6-month extension option   Start Date: 4 December 2025   Hours: Up to 40 hours per week   Security Clearance: Must hold or be eligible to obtain Baseline   Working Arrangements: Hybrid – flexible combination of office and remote work     Job Details  We are seeking a Senior Full Stack Developer to support a high-profile digital analytics platform within a federal environment. The successful candidate will join a small, technically strong development team within the Strategy function, working on the organisation’s flagship trade analytics platform — a critical decision-support tool used across multiple business areas.  This role demands a developer capable of working across the full stack, from interactive front-end visualisations through to scalable APIs and data pipeline integration. You will contribute to expanding platform capabilities, improving performance, and strengthening integration between data, digital, and analytics systems.     Key Responsibilities  Develop responsive, interactive dashboards and data visualisations using modern JavaScript frameworks. Build component-based user interfaces with TypeScript and ensure cross-platform performance. Design and maintain scalable REST APIs using FastAPI and Python. Implement authentication and authorisation middleware integrating with Azure Entra ID. Support ETL workflows and optimise data queries within Azure Synapse Analytics. Integrate front-end systems with analytical data sources such as ClickHouse and Synapse. Implement real-time and batch data query systems with secure access patterns. Contribute to microservices design and deployment best practices. Participate in code reviews, documentation, and continuous improvement activities. Collaborate with stakeholders across Digital, Strategy, and Data teams.     Essential Criteria  Technical Expertise Strong experience with modern JavaScript frameworks (SvelteKit, React, or Vue.js). Proficiency in TypeScript and component-based architecture. Advanced experience with Python and API development (FastAPI preferred). Hands-on experience with ETL and data pipeline development (Azure Synapse Analytics desirable). Solid understanding of RESTful API design and microservices architecture. Familiarity with SvelteKit/FastAPI/ClickHouse stack highly desirable. Data and Analytics Experience Proven ability to build data-driven applications and analytics dashboards. Strong SQL knowledge and experience with analytical databases (ClickHouse, SQL Server, etc.). Understanding of data modelling, optimisation, and query performance tuning. Experience using D3.js, Apache ECharts, or similar data visualisation libraries. Cloud and DevOps Experience with Azure cloud environments and deployment patterns. Understanding of CI/CD pipelines and Infrastructure as Code principles. Experience with Docker and container orchestration tools. Government and Compliance Understanding of Australian Government data standards and compliance frameworks. Knowledge of privacy and data protection obligations under Australian law. Experience working within Australian Public Service environments preferred. Professional Skills Excellent analytical and problem-solving ability. Strong communication skills and clear technical documentation capability. Proven ability to work independently under guidance from senior advisors. Collaborative mindset and commitment to quality delivery.     Desirable Criteria  Prior experience working within Australian Government IT systems. Familiarity with trade, investment, education, or tourism data domains. Understanding of advanced analytics and machine learning concepts. Exposure to Agile methodologies and sprint-based delivery. Certifications in modern web development or cloud platforms (e.g. Azure Developer, AWS Developer).     Additional Requirements  Candidates must hold or be eligible to reinstate a Baseline security clearance prior to engagement.     Working Arrangements  Hybrid working conditions are available, with flexibility to work from Canberra, Brisbane, Melbourne, or Sydney offices. Onsite attendance may be required for key collaboration sessions."
Full Stack Developer with verification,Auto & General Australia,https://www.linkedin.com/company/a&g-insurance-services/life,2025-10-27,2 hours ago,https://www.linkedin.com/jobs/view/4319110271/?eBP=NON_CHARGEABLE_CHANNEL&refId=TEC%2BapGEYdBD%2FtC7O21AEA%3D%3D&trackingId=Hl0C0WqmlpL1h07CkK6gYQ%3D%3D&trk=flagship3_search_srp_jobs,,6336,"About the job  Brief Description  Your new team  This role is a key Development role building out the best digital online experience for Auto and General’s customers. You will be building applications that allow customers to buy and manage their policies online, as well as contributing to the development of internal applications used by our staff to support business operations.  The role will work in one of several cross-functional agile teams, supported by a product owner and Scrum master. All software is delivered via agile teams and deployed via a modern DevOps/CI pipeline to AWS.  You will be involved in developing software that covers both our Front-End applications (web and mobile, including Flutter-based solutions) as well as supporting and building out our middleware and backend services deployed on AWS that are business critical.  This role will be working within a large team consisting of developers, testers, and agile practitioners in our Toowong location.  The role   Design and develop fit-for-purpose solutions to achieve sprint goals and deliver value to our business partners.  Leverage your experience to lead solution designs and development of our modern architecture.  Develop and maintain cross-platform mobile applications using Flutter, ensuring seamless integration with backend APIs and services.  Help build out our CI/CD pipeline and AWS deployment infrastructure.  Take ownership of the product, contributing improvement and innovation ideas.  Establish and own best practice testing across unit, integration, and end-to-end tests, including mobile testing practices.  Work collaboratively within a cross-functional Agile team, contributing to development, deployment, and support activities as required.  Perform other reasonable and relevant activities as requested from time to time to meet operational requirements.    Essential  What experience you’ll bring   At least 3+ years of Software Development or relevant industry experience  Strong experience developing cross-platform mobile applications using Flutter and Dart, with an understanding of state management techniques  Excellent knowledge of modern front-end architecture  Deep knowledge of and adherence to software application security implications for web applications (e.g., OWASP)  Experience with technical documentation, including high-level and low-level designs, UML diagrams, user guides and system documentation  Experience using and configuring application and system monitoring tools  Experience with AWS Developer Tools and ecosystem, as well as Cloud deployment with Docker  Adherence to, and application of software application security standards  Ability to work in the Atlassian suite of products. JIRA, Confluence and Bitbucket    Advantageous   Familiarity with other modern web frameworks such as NgRx, React, or Vue  Understanding of security implications for web applications (OWASP)  Experience in or knowledge of GitLab DevOps Platform  Excellent knowledge of Angular 2+, JavaScript (ES 2015+) and Typescript  A background in financial services applications is an advantage    Toowong  Close to a variety of public transport and easy parking options, the Toowong office has excellent end of trip facilities (including secure bike storage and showers), outdoor spaces and plenty of modern collaborative areas to work and connect with colleagues.  Conveniently based at Toowong Village tower with views of the mountains and the Brisbane River, our location is only 4 km from the city and provides access to retail, restaurants and other amenities.  The benefits of working at A&G   Be rewarded - we recognise high performance and reward our people for their hard work through bonuses and other perks.  Work flexibility - with options to work from home two days per week.  Options for leave - life happens, so we’ve got volunteer days, an additional paid ‘ME’ day, paid parental leave and the opportunity to purchase additional leave to cover all of the big stuff.  Grow with us - we’ve got learning and professional development opportunities to suit everyone.  Give back - our A&G Difference program gives you the power to change our community for the better through volunteering, fundraising and donation opportunities for causes that you’re passionate about.  Take care of yourself - your wellbeing is important to us and our healthy mind and body hub, mental-health support and fitness discounts will help you be your best self.  Celebrate the wins - we love sharing our successes and celebrating together - join us and you’ve got a ticket to our many on-site events throughout the year, family fun days and annual celebrations.  Save money - as well as discounts on insurance products, we’ve teamed up with some incredible retailers, hospitality providers and others to bring you discounts on your purchases, no matter where you are in Australia.    About Us  Auto & General (A&G) is the fastest-growing major Motor and Home insurer in Australia, providing insurance products and solutions to safeguard a brighter future for our customers and community.  Our range of general insurance products including Car, Motorcycle, Home, Contents Pet and Travel products are delivered through our multi-award-winning brand Budget Direct and partnerships with leading brands - ING, Qantas, Virgin Money and Coles Insurance.  We’re excited about the future and we’re always on the lookout for talented, passionate individuals who can help us achieve our goal of being Australia’s best insurer! If this sounds like you, apply today.  Auto & General values individual differences and believes in fostering an inclusive culture that creates a great place to work for all.   A note from Auto & General to recruitment agencies: We politely ask that you avoid making any approaches or sending any unsolicited resumes to our Recruitment Team or Hiring Leaders across our business. Auto & General is not responsible for any fees related to unsolicited resumes.   Internal Applicants: Please ensure your manager or team leader is aware of your application. If this sounds like your next challenge, click on the APPLY NOW button and submit your application.  We are accepting referrals for this position. If you know someone who has the right skills & experience, please encourage them to apply and advise our recruitment team"
ServiceNow UI Portal Developer,Vantage Point Consulting,https://www.linkedin.com/company/vantage-point-consulting/life,2025-10-27,48 minutes ago,https://www.linkedin.com/jobs/view/4318018172/?eBP=NON_CHARGEABLE_CHANNEL&refId=TEC%2BapGEYdBD%2FtC7O21AEA%3D%3D&trackingId=UvTUt6ehsGgrpuh3fnhY%2Bg%3D%3D&trk=flagship3_search_srp_jobs,,506,"About the job This job is sourced from a job board. Learn More  Work Location : Santa Clara, CA – Onsite   Minimum of 7 + years of experience in Development. Full stack developers with experience in developing UI pages with Javascript, Angular/ React. Worked with Rest API integration. Strong on SN Platform experience. Must have worked on any of the technical stack on ServiceNow like ITSM/SPM/HRSD Strong in programming skills Worked in Agile based projects and comfortable with DevOps based deployments."
"Senior Software Engineer, Data Platform with verification",Circle,https://www.linkedin.com/company/circle-internet-financial/life,2025-10-27,1 hour ago,https://www.linkedin.com/jobs/view/4317697075/?eBP=NON_CHARGEABLE_CHANNEL&refId=TEC%2BapGEYdBD%2FtC7O21AEA%3D%3D&trackingId=HjgQSObMZpNbbDZjtC6Q%2Fw%3D%3D&trk=flagship3_search_srp_jobs,,5580,"About the job  Circle is a financial technology company at the epicenter of the emerging internet of money, where value can finally travel like other digital data — globally, nearly instantly and less expensively than legacy settlement systems. This ground-breaking new internet layer opens up previously unimaginable possibilities for payments, commerce and markets that can help raise global economic prosperity and enhance inclusion. Our infrastructure – including USDC, a blockchain-based dollar – helps businesses, institutions and developers harness these breakthroughs and capitalize on this major turning point in the evolution of money and technology.  What You’ll Be Part Of  Circle is committed to visibility and stability in everything we do. As we grow as an organization, we're expanding into some of the world's strongest jurisdictions. Speed and efficiency are motivators for our success and our employees live by our company values: High Integrity, Future Forward, Multistakeholder, Mindful, and Driven by Excellence. We have built a flexible and diverse work environment where new ideas are encouraged and everyone is a stakeholder.  What You’ll Be Responsible For  As a member of the Data Platform Engineering team, you will own and evolve the core Data/ML platform — including data ingestion and processing (with a focus on both traditional and blockchain data sources), ETL/ELT pipelines, data governance and security compliance, analytics and visualization tooling, data modeling, and warehousing. You will also design and build systems to monitor data pipelines and on-chain activity to ensure reliability, performance, and observability. This role requires close collaboration with Infrastructure, Data Science, and Engineering teams to align on diverse requirements and deliver scalable, high-impact solutions. You will also participate in maintaining existing infrastructure and join the on-call rotation to ensure the liveness and stability of services. These components power our Product, Engineering, Analytics, and Data Science functions by enabling experimentation, operational excellence, and actionable insights that drive business growth.  What You’ll Work On   Design, build, and operate data platform services such as warehousing, orchestration, data catalogs, and ingestion frameworks. Develop and maintain scalable ingestion pipelines, including onchain/blockchain data ingestion, with robust handling of node APIs, rate limiting, and data consistency. Implement data alerting mechanisms to monitor critical events or anomalies in ingested data (e.g., specific on-chain transactions, contract changes, or volume spikes). Handle ingestion pipelines that operate across a broad range of scales, from small partner datasets to high-throughput blockchain transaction streams. Continuously improve platform operations through better monitoring, performance tuning, reliability enhancements, and resource optimization. Collaborate across Product, Engineering, Data Science, Security, and Compliance teams to establish data contracts, governance, and lifecycle management. Serve as a domain expert in data warehousing, data modeling, pipeline orchestration, and ensuring data quality at scale. Provide ML/AI platform capabilities for data scientists to run experiments, manage training data, and perform feature engineering. Build and maintain foundational services such as Data asset cataloging and lineage tracking Data versioning and quality metrics Auto-backfilling for incomplete data scenarios Fine-grained access control on datasets  What You’ll Bring To Circle   4+ years of experience in software engineering, preferably focused on data systems. Familiarity with building or maintaining scalable data infrastructure for batch, micro-batch, or streaming pipelines. Exposure to business domains such as payments, banking, or blockchains is a plus. Understanding of data governance concepts like data lineage, quality, and access control. Interest in open-source data tools and technologies. Comfortable working through technical problems, even when requirements are not fully defined. Proactive, curious, and eager to learn and contribute in a fast-paced environment. Good communication skills and ability to collaborate with team members across functions and locations.   Nice To Have   Familiarity with blockchain data and a strong grasp of foundational cryptocurrency technologies and concepts.   Base Pay Range  $147,500 - $195,000  Circle is on a mission to create an inclusive financial future, with transparency at our core. We consider a wide variety of elements when crafting our compensation ranges and total compensation packages.  Starting pay is determined by various factors, including but not limited to: relevant experience, skill set, qualifications, and other business and organizational needs. Please note that compensation ranges may differ for candidates in other locations.  Base Pay Range: $147,500 - $195,000  We are an equal opportunity employer and value diversity at Circle. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. Additionally, Circle participates in the E-Verify Program in certain locations, as required by law.  Should you require accommodations or assistance in our interview process because of a disability, please reach out to accommodations@circle.com for support. We respect your privacy and will connect with you separately from our interview process to accommodate your needs.  "
Chef De Partie,Celebrity Cruises,https://www.linkedin.com/company/celebrity-cruises/life,2025-10-27,Reposted 1 hour ago,https://www.linkedin.com/jobs/view/4259143185/?eBP=NON_CHARGEABLE_CHANNEL&refId=TEC%2BapGEYdBD%2FtC7O21AEA%3D%3D&trackingId=sB3l0ZGce2WdnVXsqRTvpw%3D%3D&trk=flagship3_search_srp_jobs,,3089,"About the job  Key Responsibilities:  Directs, coaches, supports, supervises, and evaluates (with the Sous Chef) all direct reports. Must have excellent food knowledge and a full understanding of culinary terms. Must be able to read, understand, follow, and prepare company recipes by maintaining the quality and consistency in taste according to the instructions provided by the corporate office. Must be proficient in completing tasks, work efficiently and productively. Must be able to work in any section of a kitchen. Coordinate and supervise all team members assigned to their section, assign and delegate tasks accordingly. Undertake recipe reviews daily. Maintain recipe folders in immaculate condition. Responsible for follow-through on any request within the area of responsibility received from the direct supervisor or manager on duty; this may include show plates, food samples and random food tastings. Control production levels and recommend ideas for improvements and better cost controlling. Prepare daily electronic food requisitions needed for his section production and countercheck deliveries for its accuracy; Report any discrepancies to his immediate supervisor. Must be able to oversee any main section (Sauce, Entremetier, Fish, Roast, Outlet CDP, Tournant and Cold Kitchen) and its entire food production. Maintain and ensure that Public Health are followed according to company standards and expectation (referring to US, Anvisa, Shipsan, Canadian, Australian etc.) and always followed within their section. Ensures that the HACCP program is carried out correctly. Maintains their assigned area in preparation for announced or unannounced United States Public Health type inspection either done by the Food & Beverage Director or the actual inspectors. Reports for duty at assigned times, follows their supervisor’s instructions, and ensures that personal appearance, uniform, and personal hygiene are in accordance with the company’s rules and regulations.     Qualifications and Skills  A minimum of 8 years in an upscale hotel, resort, cruise ship or convention banqueting service and at least 2 years as Chef de Partie (shipboard experience preferred). A culinary school degree is required. Very strong management skills in a multicultural and dynamic environment. Very strong communication, problem solving, decision making, and interpersonal skills. Superior customer service, teambuilding, and conflict resolution skills. Knowledge of the principles and processes for providing personalized services including needs assessment techniques, quality service standards, alternative delivery systems, and guest satisfaction evaluation techniques. Strong planning, coaching, organizing, staffing, controlling, and evaluating skills. Intermediate computer software skills required. Possess a good understanding of basic accounting principles such as numbering flow, “Debits/Credits”, adjusting entries, and corrections. Ability to write reports and business correspondence and to establish a good rapport with the ship’s Senior Officers and the corporate office."
Full Stack Engineer with verification,Balance Recruitment and Balance Consulting,https://www.linkedin.com/company/balance-recruitment/life,2025-10-27,3 hours ago,https://www.linkedin.com/jobs/view/4318899257/?eBP=NON_CHARGEABLE_CHANNEL&refId=TEC%2BapGEYdBD%2FtC7O21AEA%3D%3D&trackingId=fLXkAYPeKmKXX1yd3qPxfQ%3D%3D&trk=flagship3_search_srp_jobs,,2760,"About the job  Our client, a prominent government agency, is seeking a Senior Full Stack Developer to join their Digital Products and Platforms Branch. This critical role involves working within a small development team under the Strategy Team to enhance 'Datathing,' a key trade analytics platform supporting trade and investment decisions across the agency.     Key responsibilities include:  Developing responsive, component-based frontend user interfaces using modern JavaScript frameworks such as SvelteKit, React, or Vue.js, leveraging TypeScript and data visualization libraries like Apache eCharts and D3.js. Implementing high-performance backend REST APIs utilizing FastAPI and Python, including authentication and authorization integrations with Azure Entra ID. Supporting and optimising data pipeline workflows and ETL processes on Azure Synapse Analytics, ensuring data accuracy and efficiency across frontend and backend systems. Integrating applications with data sources such as ClickHouse and Synapse, enabling real-time and batch data processing with secure authentication flows. Collaborating closely with Strategy, Trade, Go Global Toolkit, and Data teams to deliver features and extend platform integration capabilities. Participating in code reviews, documenting code, and sharing knowledge whilst contributing to continuous improvement of development practices within a hybrid working environment.     Candidate attributes:  Proven technical expertise in modern JavaScript frameworks, TypeScript, Python API development, and Azure cloud services. Strong experience with data-driven applications, analytics dashboards, SQL databases including ClickHouse or Microsoft SQL Server, and data visualization best practices. Experience with CI/CD pipelines, containerisation technologies, and microservices architecture. Understanding of Australian Government data standards, privacy laws, and compliance requirements. Excellent communication skills, strong analytical thinking, and ability to work both independently and collaboratively under senior guidance.     This is a 6-month contract opportunity (with a possible 6-month extension), offering a dynamic hybrid work model across various Australian locations including Canberra and Queensland.     Security clearance eligibility for Baseline level is required.     If you are an experienced Senior Full Stack Developer eager to contribute your skills to a vital government platform that supports national trade and investment strategies, we encourage you to explore this exciting role within our client’s team.     Balance Consulting Services is committed to equal opportunity employment. We celebrate diversity and encourage people from all sections of our community to apply for this role."
"Senior Software Engineer, Networking Platform with verification",NVIDIA,https://www.linkedin.com/company/nvidia/life,2025-10-27,44 minutes ago,https://www.linkedin.com/jobs/view/4331879433/?eBP=NON_CHARGEABLE_CHANNEL&refId=TEC%2BapGEYdBD%2FtC7O21AEA%3D%3D&trackingId=cy69dsrU8k4LhDY7rJ%2FqfQ%3D%3D&trk=flagship3_search_srp_jobs,,5162,"About the job  NVIDIA is looking for a highly motivated, creative, and passionate Software Engineer to design and develop a simulation software to integrate with many networking operating systems in the Networking Business Unit (NBU). This critical role entails tons of Python, Go and C development work in NVIDIAs switching software modules. You will be part of the team that develops the next generation simulation framework that spans across multiple Networking Operating Systems related to HPC, Ethernet AI, and more. We expect you to have strong programming skills, devops and Networking simulation experience, a good understanding of designing and building automation frameworks to integrate with simulation environments, especially related to Python and GoLang, C, experience with Networking Arch and Systems Software and Distributed systems, as well as excellent communication and planning skills.  Come Join a dynamic team driving the adoption and ongoing maintenance of simulation-based development and testing for Networking switches. You’ll help build frameworks and libraries to promote simulation adoption, reduce hardware contention, and accelerate the identification and resolution of resource leaks and bugs. This role is pivotal in improving functional coverage and integrating simulation capabilities across multiple platforms and ASIC flavors.  What You'll Be Doing   Design, development and integration of Networking simulation framework for next-generation NVIDIA switch platforms Design and develop new simulation functionalities, while also maintaining and enhancing existing services Work collaboratively with team members, product managers, architects, QA, and other engineering teams to deliver high-quality solutions. Develop orchestration libraries using Nvidia Next Gen Simulation platform and automate bug reproduction. Innovate and rapidly develop proof-of-concept (POC) prototypes that can evolve into fully developed products or solutions. Engage closely with internal customers to understand their challenges, use cases, and deployment strategies, and devise innovative solutions. Orchestrate and build virtual environments with capabilities for custom module deployment for unit and integration test execution.   What We Need To See   BS or MS degree in Computer Engineering, Computer Science, or a related field (or equivalent experience). A minimum of 5+ years of software development experience with a strong emphasis on Networking, Linux, containers, and virtualization. Strong and validated experience in Python, GoLang and C programming. Strong technical abilities, problem-solving, design, coding, and debugging skills. Ability to quickly understand new requirements and technologies and swiftly prototype and implement solutions. Proficiency in programming and scripting for test automation and orchestration. Ability to integrate with external systems and tools for test management and Simulation (CI/CD, Build Acceptance Tests) Experience with test execution engines, topology management, and test status reporting. Ability to work cross-functionally and integrate simulation capabilities in networking modules Excellent communication skills.   Ways To Stand Out From The Crowd   Demonstrated expertise in building and maintaining large-scale simulation environments Experience with endurance and long-running test suites and proven ability to automate complex reproductions and manage multiple sims/vx architectures. Contributions to open-source frameworks and libraries that enhance simulation adoption and test coverage Innovative approaches to reducing hardware contention and accelerating bug resolution Python, GoLang and C programming skills   With competitive salaries and a generous benefits package, we are widely considered to be one of the technology world’s most desirable employers. We have some of the most forward-thinking and hardworking people in the world working for us and, due to unprecedented growth, our exclusive engineering teams are rapidly growing. If you're a creative and autonomous engineer with a real passion for technology, we want to hear from you. NVIDIA is widely considered to be one of the technology world’s most desirable employers. We have some of the most hard-working and talented people in the world working for us. If you're creative and passionate about developing cloud services we want to hear from you!  Your base salary will be determined based on your location, experience, and the pay of employees in similar positions. The base salary range is 148,000 USD - 235,750 USD.  You will also be eligible for equity and benefits .  Applications for this job will be accepted at least until October 30, 2025.NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.  JR2006612  "
Head of Information Technology with verification,Watsons Indonesia,https://www.linkedin.com/company/watsons-indonesia/life,2025-10-27,6 minutes ago,https://www.linkedin.com/jobs/view/4318899780/?eBP=NON_CHARGEABLE_CHANNEL&refId=TEC%2BapGEYdBD%2FtC7O21AEA%3D%3D&trackingId=ccQgYgdQeXWQjk8vfMj9Mw%3D%3D&trk=flagship3_search_srp_jobs,,1526,"About the job  Company Description    Watsons Indonesia is part of AS Watson Group, the world’s largest international health and beauty retailer with over 17,000 stores under 12 retail brands in 31 markets. The group employs over 130,000 individuals globally and reported revenue exceeding US$24 billion for fiscal year 2024. Watsons serves over 6 billion shoppers annually through its O+O (Offline plus Online) platforms, offering an integrated tech-enabled retail experience. Watsons leads the health and beauty retail market in Asia, operating 8,000 stores and over 1,500 pharmacies across 16 markets.    Role Description    This is a full-time on-site role for a Head of Information Technology located in the Jakarta Metropolitan Area. The Head of IT will manage day-to-day IT operations, oversee IT strategy and infrastructure, and ensure the implementation and maintenance of effective IT management systems. This role requires close collaboration with various departments to streamline processes, enhance security, and support business objectives through technology solutions.    Qualifications   Expertise in Information Technology, IT Management, and IT Operations Proven experience in developing and implementing IT Strategy Strong knowledge of Infrastructure management Excellent leadership and team management skills Ability to work in an on-site capacity in the Jakarta Metropolitan Area Bachelor's degree in Information Technology, Computer Science, or a related field Experience in the retail industry is a plus"
"Software Engineer, Front-end (Latin America)",Jobgether,https://www.linkedin.com/company/jobgether/life,2025-10-27,53 minutes ago,https://www.linkedin.com/jobs/view/4318003169/?eBP=NON_CHARGEABLE_CHANNEL&refId=TEC%2BapGEYdBD%2FtC7O21AEA%3D%3D&trackingId=u9sgp131tx5lVJVNEFhQrA%3D%3D&trk=flagship3_search_srp_jobs,,3659,"About the job  This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Software Engineer, Front-end in Latin America.  As a Front-end Engineer, you will help shape a customer-centric digital experience, building and maintaining web applications that simplify complex processes. You will work closely with cross-functional teams to design, develop, and optimize user interfaces while ensuring high quality and performance. This role involves prototyping solutions, collaborating in an agile environment, and rapidly iterating based on feedback. You will contribute to technical decisions, implement automated testing, and help maintain a robust, scalable front-end architecture. The position offers full remote flexibility, enabling you to work from anywhere in Latin America while having a direct impact on product development and user experience.  Accountabilities   Develop, design, debug, and enhance software components and tools in an agile environment Write automated unit and integration tests to support continuous integration pipelines Participate in code reviews to ensure code quality, flexibility, and maintainability Rapidly prototype minimum viable products and implement technical solutions with guidance from senior engineers Collaborate effectively with distributed cross-functional teams to resolve roadblocks and implement solutions Contribute to user story creation and continuously improve software development processes Maintain high standards of quality and performance across front-end codebases    Requirements   4+ years of professional front-end development experience Strong knowledge of HTML, CSS, JavaScript, and TypeScript Deep experience with front-end frameworks such as React, Angular, or Vue (React + Redux preferred) Skilled in testing frameworks like Jest and Cypress Familiarity with Software Development Lifecycle methodologies, particularly Scrum or Kanban Strong problem-solving and troubleshooting skills with attention to detail Ability to rapidly prototype and iterate in response to user feedback Experience with version control (Git) and CI/CD tools Excellent organizational skills, discipline, and collaborative mindset    Benefits   Fully remote work across Latin America 🗓 Flexible schedule and work-life balance 📈 Opportunity to work on impactful products in a fast-paced startup environment 🧩 Collaborative and diverse team culture 🛠 Access to modern front-end technologies and best practices 🌱 Continuous learning and growth opportunities within an agile environment   Jobgether is a Talent Matching Platform that partners with companies worldwide to efficiently connect top talent with the right opportunities through AI-driven job matching.  When you apply, your profile goes through our AI-powered screening process designed to identify top talent efficiently and fairly.  🔍 Our AI evaluates your CV and LinkedIn profile thoroughly, analyzing your skills, experience, and achievements.  📊 It compares your profile to the job's core requirements and past success factors to determine your match score.  🎯 Based on this analysis, we automatically shortlist the three candidates who best match the role.  🧠 When necessary, our human team may perform an additional manual review to ensure no strong profile is missed.  The process is transparent, skills-based, and free of bias — focusing solely on your fit for the role. Once the shortlist is completed, we share it directly with the company that owns the job opening. The final decision and next steps (such as interviews or assessments) are managed by their internal hiring team.  Thank you for your interest!  "
Engineering Manager - Onsite in SF with verification,Pump.co,https://www.linkedin.com/company/pumpcloud/life,,Reposted 33 minutes ago,https://www.linkedin.com/jobs/view/4307078864/?eBP=NON_CHARGEABLE_CHANNEL&refId=TEC%2BapGEYdBD%2FtC7O21AEA%3D%3D&trackingId=QMwIZn6WcM7G85BHFpLLrg%3D%3D&trk=flagship3_search_srp_jobs,,2717,"About the job  About Pump  Pump is an AI-driven cloud cost optimization platform that helps companies reduce cloud spend and maximize performance across AWS, GCP, and Azure. We’re backed by top-tier investors and rapidly scaling our team to meet growing customer demand.        About the Role  We're looking for a hands-on Engineering Manager to lead and grow our engineering team as we scale our AI-powered cloud optimization platform. You'll play a key leadership role in shaping technical strategy, building scalable systems, and mentoring top-tier engineering talent.     This is an onsite role where you’ll stay actively involved in architecture and coding, while also managing people and processes. You’ll work closely with the founding team and cross-functional partners to ensure our engineering organization is aligned with product and business goals.     Key Responsibilities  Lead and scale the engineering team from 5 to 10+ engineers, including hiring and team structuring Stay hands-on with architecture and development—this is a technical leadership role Own the delivery of scalable, performant systems across AI, infrastructure, and cloud services Collaborate with product, design, and business teams to translate strategy into execution Mentor and develop engineers at all levels, fostering a high-performing, inclusive culture Help shape engineering culture, tooling, and practices as we grow     Minimum Qualifications  3–10 years of total engineering experience At least 2+ years in a managerial or technical leadership role Experience as a CTO, Eng Lead, or similar role at a company with $5M–$30M+ ARR Strong backend and infrastructure expertise, particularly with AWS, GCP, or Azure Solid understanding of AI/ML applications in cloud or infrastructure optimization Degree in Computer Science or a related technical field Availability to work onsite in San Francisco, Monday–Friday     Ideal Candidate Profile  Previously managed or scaled engineering teams of 10–15+ people Built and scaled backend systems used by thousands of users Product-minded and data-driven with strong communication skills Comfortable navigating ambiguity and moving quickly in a startup environment Experience in a Series A or growth-stage startup a strong plus Previous founder or early employee experience is a bonus     Benefits (U.S. Full-Time Employees)  Comprehensive healthcare and dental coverage for you 401(k) plan Generous PTO: 13 accrued days, plus company shutdown December 24—January 1st Free lunch & dinner at the office Annual company-paid retreats Developmental bonuses: support for professional development opportunities tied to cloud and related fields     Compensation: $160,000 USD - $200,000 USD"
